22.429: start
86.605: .8.
87.081: .8.
87.322: .8.
87.801: .8.
88.028: .8.
88.522: .8.
88.745: .8.
89.244: .8.
89.466: .8.
89.961: .8.
90.184: .8.
90.391: .8.
90.889: .8.
91.096: .8.
91.592: .8.
91.816: .8.
92.295: .8.
92.519: .8.
93.002: .8.
93.225: .8.
93.446: .8.
93.945: .8.
94.166: .8.
94.662: .8.
94.889: .8.
95.381: .8.
95.607: .8.
96.088: .8.
96.332: .8.
96.516: .8.
97.013: .8.
97.237: .8.
97.732: .8.
97.956: .8.
98.452: .8.
98.676: .8.
99.172: .8.
99.398: .8.
99.605: .8.
100.084: .8.
100.307: .8.
100.787: .8.
101.012: .8.
101.497: .8.
101.734: .8.
102.229: .8.
102.450: .8.
102.930: .8.
103.170: .8.
103.377: .8.
103.892: .8.
104.098: .8.
104.594: .8.
104.819: .8.
105.334: .8.
105.539: .8.
106.017: .8.
106.240: .8.
106.736: .8.
106.944: .8.
107.186: .8.
107.663: .8.
107.890: .8.
108.382: .8.
108.607: .8.
109.103: .8.
109.326: .8.
109.809: .8.
110.032: .8.
110.239: .8.
110.737: .8.
110.958: .8.
111.440: .8.
111.646: .8.
112.142: .8.
112.365: .8.
112.864: .8.
113.088: .8.
113.309: .8.
113.791: .8.
114.013: .8.
114.508: .8.
114.732: .8.
115.212: .8.
115.454: .8.
115.934: .8.
116.158: .8.
116.366: .8.
116.878: .8.
117.101: .8.
117.579: .8.
117.804: .8.
118.301: .8.
118.524: .8.
119.002: .8.
119.226: .8.
119.453: .8.
119.914: .8.
120.138: .8.
120.634: .8.
120.873: .8.
121.352: .8.
121.577: .8.
122.072: .8.
122.296: .8.
122.794: .8.
123.018: .8.
123.227: .8.
123.703: .8.
123.943: .8.
124.441: .8.
124.663: .8.
125.145: .8.
125.382: .8.
125.862: .8.
126.086: .8.
126.310: .8.
126.776: .8.
127.016: .8.
127.494: .8.
127.733: .8.
128.213: .8.
128.440: .8.
128.919: .8.
129.156: .8.
129.351: .8.
129.846: .8.
130.068: .8.
130.548: .8.
130.772: .8.
131.251: .8.
131.491: .8.
131.990: .8.
132.211: .8.
132.435: .8.
132.917: .8.
133.141: .8.
133.618: .8.
133.842: .8.
134.338: .8.
134.565: .8.
135.045: .8.
135.266: .8.
135.492: .8.
135.972: .8.
136.194: .8.
136.691: .8.
136.913: .8.
137.393: .8.
137.617: .8.
138.113: .8.
138.336: .8.
138.563: .8.
139.008: .8.
139.248: .8.
139.730: .8.
139.951: .8.
140.463: .8.
140.689: .8.
141.169: .8.
141.409: .8.
141.886: .8.
142.113: .8.
142.320: .8.
142.816: .8.
143.040: .8.
143.533: .8.
143.757: .8.
144.254: .8.
144.479: .8.
144.975: .8.
145.181: .8.
145.420: .8.
145.918: .8.
146.157: .8.
146.655: .8.
146.877: .8.
147.356: .8.
147.580: .8.
148.061: .8.
148.286: .8.
148.499: .8.
148.988: .8.
149.211: .8.
149.691: .8.
149.918: .8.
150.397: .8.
150.619: .8.
151.115: .8.
151.354: .8.
151.578: .8.
152.042: .8.
152.268: .8.
152.761: .8.
152.969: .8.
153.465: .8.
153.689: .8.
154.169: .8.
154.409: .8.
154.617: .8.
155.113: .8.
155.337: .8.
155.816: .8.
156.040: .8.
156.535: .8.
156.759: .8.
157.242: .8.
157.479: .8.
157.688: .8.
158.152: .8.
158.392: .8.
158.873: .8.
159.094: .8.
159.606: .8.
159.829: .8.
160.310: .8.
160.550: .8.
161.030: .8.
161.254: .8.
161.496: .8.
161.957: .8.
162.197: .8.
162.680: .8.
162.917: .8.
163.396: .8.
163.621: .8.
164.116: .8.
164.323: .8.
164.547: .8.
165.030: .8.
165.251: .8.
165.751: .8.
165.973: .8.
166.467: .8.
166.693: .8.
167.171: .8.
167.394: .8.
167.602: .8.
168.100: .8.
168.321: .8.
168.805: .8.
169.028: .8.
169.505: .8.
169.729: .8.
170.227: .8.
170.465: .8.
170.673: .8.
171.169: .8.
171.392: .8.
171.890: .8.
172.098: .8.
172.591: .8.
172.817: .8.
173.298: .8.
173.522: .8.
173.743: .8.
174.224: .8.
174.447: .8.
174.926: .8.
175.167: .8.
175.646: .8.
175.873: .8.
176.365: .8.
176.589: .8.
176.816: .8.
177.262: .8.
177.501: .8.
177.981: .8.
178.221: .8.
178.720: .8.
178.941: .8.
179.422: .8.
179.660: .8.
179.870: .8.
180.347: .8.
180.573: .8.
181.067: .8.
181.291: .8.
181.787: .8.
182.013: .8.
182.491: .8.
182.732: .8.
183.243: .8.
183.452: .8.
183.674: .8.
184.154: .8.
184.393: .8.
184.876: .8.
185.100: .8.
185.596: .8.
185.817: .8.
186.297: .8.
186.520: .8.
186.731: .8.
187.224: .8.
187.450: .8.
187.930: .8.
188.155: .8.
188.632: .8.
188.855: .8.
189.351: .8.
189.591: .8.
189.816: .8.
190.279: .8.
190.520: .8.
191.001: .8.
191.222: .8.
191.703: .8.
191.945: .8.
192.405: .8.
192.646: .8.
192.857: .8.
193.349: .8.
193.573: .8.
194.052: .8.
194.277: .8.
194.296: result: 3E
194.297: result: CB
194.298: result: F3
194.772: .8.
194.788: result: E6
194.789: result: B0
194.790: result: B5
194.805: result: 80
194.806: result: 57
195.015: .8.
195.028: result: D7
195.029: result: DB
195.044: result: C6
195.526: .10.
195.527: result: C6
195.527: result: 6B
195.540: result: 31
195.540: end
195.540: start
195.766: .5.
196.262: .5.
196.467: .5.
196.692: .5.
197.155: .5.
197.397: .5.
197.893: .5.
198.115: .5.
198.596: .6.
198.835: .8.
199.323: .8.
199.557: .8.
200.033: .8.
200.243: .8.
200.482: .8.
200.964: .8.
201.187: .8.
201.681: .8.
201.907: .8.
202.400: .8.
202.608: .8.
203.104: .8.
203.320: .8.
203.539: .8.
204.016: .8.
204.257: .8.
204.738: .8.
204.962: .8.
205.455: .8.
205.681: .8.
206.145: .8.
206.385: .8.
206.593: .8.
207.070: .8.
207.296: .8.
207.773: .8.
208.000: .8.
208.493: .8.
208.733: .8.
209.232: .8.
209.456: .8.
209.661: .8.
210.141: .8.
210.366: .8.
210.860: .8.
211.084: .8.
211.563: .8.
211.788: .8.
212.285: .8.
212.523: .8.
212.732: .8.
213.214: .8.
213.435: .8.
213.931: .8.
214.139: .8.
214.637: .8.
214.861: .8.
215.356: .8.
215.565: .8.
215.786: .8.
216.265: .8.
216.498: .8.
216.985: .8.
217.210: .8.
217.707: .8.
217.931: .8.
218.424: .8.
218.651: .8.
219.145: .8.
219.352: .8.
219.578: .8.
220.074: .8.
220.296: .8.
220.792: .8.
221.018: .8.
221.510: .8.
221.737: .8.
222.215: .8.
222.423: .8.
222.665: .8.
223.143: .8.
223.366: .8.
223.845: .8.
224.070: .8.
224.551: .8.
224.776: .8.
225.256: .8.
225.490: .8.
225.701: .8.
226.181: .8.
226.388: .8.
226.884: .8.
227.109: .8.
227.604: .8.
227.831: .8.
228.334: .8.
228.531: .8.
228.773: .8.
229.251: .8.
229.477: .8.
229.956: .8.
230.181: .8.
230.659: .8.
230.901: .8.
231.380: .8.
231.618: .8.
231.829: .8.
232.319: .8.
232.530: .8.
233.025: .8.
233.233: .8.
233.729: .8.
233.953: .8.
234.451: .8.
234.657: .8.
234.881: .8.
235.360: .8.
235.587: .8.
236.099: .8.
236.334: .8.
236.803: .8.
237.026: .8.
237.519: .8.
237.745: .8.
237.951: .8.
238.433: .8.
238.655: .8.
239.167: .8.
239.390: .8.
239.872: .8.
240.111: .8.
240.592: .8.
240.816: .8.
241.039: .8.
241.504: .8.
241.742: .8.
242.221: .8.
242.446: .8.
242.944: .8.
243.164: .8.
243.647: .8.
243.868: .8.
244.076: .8.
244.573: .8.
244.796: .8.
245.278: .8.
245.492: .8.
245.966: .8.
246.206: .8.
246.699: .8.
246.925: .8.
247.148: .8.
247.630: .8.
247.852: .8.
248.330: .8.
248.555: .8.
249.050: .8.
249.273: .8.
249.757: .8.
249.978: .8.
250.187: .8.
250.681: .8.
250.906: .8.
251.402: .8.
251.625: .8.
252.104: .8.
252.327: .8.
252.824: .8.
253.048: .8.
253.258: .8.
253.735: .8.
253.961: .8.
254.456: .8.
254.679: .8.
255.175: .8.
255.398: .8.
255.882: .8.
256.118: .8.
256.328: .8.
256.806: .8.
257.032: .8.
257.528: .8.
257.750: .8.
258.245: .8.
258.471: .8.
258.965: .8.
259.192: .8.
259.671: .8.
259.892: .8.
260.119: .8.
260.597: .8.
260.822: .8.
261.321: .8.
261.541: .8.
262.036: .8.
262.263: .8.
262.739: .8.
262.963: .8.
263.174: .8.
263.667: .8.
263.890: .8.
264.370: .8.
264.579: .8.
265.074: .8.
265.299: .8.
265.793: .8.
266.017: .8.
266.244: .8.
266.756: .8.
266.995: .8.
267.473: .8.
267.699: .8.
268.177: .8.
268.418: .8.
268.880: .8.
269.122: .8.
269.328: .8.
269.825: .8.
270.049: .8.
270.527: .8.
270.751: .8.
271.247: .8.
271.470: .8.
271.950: .8.
272.190: .8.
272.398: .8.
272.880: .8.
273.101: .8.
273.584: .8.
273.821: .8.
274.325: .8.
274.541: .8.
275.020: .8.
275.261: .8.
275.741: .8.
275.964: .8.
276.191: .8.
276.668: .8.
276.892: .8.
277.387: .8.
277.629: .8.
278.110: .8.
278.332: .8.
278.827: .8.
279.035: .8.
279.262: .8.
279.738: .8.
279.965: .8.
280.458: .8.
280.682: .8.
281.178: .8.
281.401: .8.
281.884: .8.
282.108: .8.
282.317: .8.
282.809: .8.
283.035: .8.
283.512: .8.
283.721: .8.
284.200: .8.
284.441: .8.
284.938: .8.
285.160: .8.
285.370: .8.
285.863: .8.
286.087: .8.
286.585: .8.
286.792: .8.
287.290: .8.
287.510: .8.
287.974: .8.
288.198: .8.
288.423: .8.
288.918: .8.
289.142: .8.
289.623: .8.
289.845: .8.
290.325: .8.
290.549: .8.
291.045: .8.
291.255: .8.
291.487: .8.
291.959: .8.
292.181: .8.
292.679: .8.
292.899: .8.
293.395: .8.
293.623: .8.
294.099: .8.
294.339: .8.
294.546: .8.
295.043: .8.
295.266: .8.
295.750: .8.
295.970: .8.
296.469: .8.
296.690: .8.
297.170: .8.
297.409: .8.
297.617: .8.
298.097: .8.
298.337: .8.
298.817: .8.
299.041: .8.
299.520: .8.
299.763: .8.
300.243: .8.
300.463: .8.
300.672: .8.
301.151: .8.
301.359: .8.
301.855: .8.
302.079: .8.
302.562: .8.
302.784: .8.
303.246: .8.
303.471: .8.
303.711: .8.
304.192: .8.
304.414: .8.
304.910: .8.
305.135: .8.
305.631: .8.
305.837: .8.
306.333: .8.
306.557: .8.
306.767: .8.
307.245: .8.
307.471: .8.
307.965: .8.
308.188: .8.
308.703: .8.
308.907: .8.
309.403: .8.
309.627: .8.
309.835: .8.
310.333: .8.
310.555: .8.
311.035: .8.
311.261: .8.
311.755: .8.
311.978: .8.
312.474: .8.
312.701: .8.
312.925: .8.
313.404: .8.
313.625: .8.
314.122: .8.
314.344: .8.
314.840: .8.
315.064: .8.
315.544: .8.
315.785: .8.
315.994: .8.
316.472: .8.
316.695: .8.
317.177: .8.
317.399: .8.
317.879: .8.
318.105: .8.
318.599: .8.
318.823: .8.
319.047: .8.
319.511: .8.
319.735: .8.
320.217: .8.
320.439: .8.
320.918: .8.
321.141: .8.
321.621: .8.
321.829: .8.
322.037: .8.
322.532: .8.
322.760: .8.
323.252: .8.
323.476: .8.
323.972: .8.
324.198: .8.
324.691: .8.
324.901: .8.
325.107: .8.
325.603: .8.
325.829: .8.
326.317: .8.
326.530: .8.
327.027: .8.
327.266: .8.
327.747: .8.
327.954: .8.
328.181: .8.
328.674: .8.
328.885: .8.
329.377: .8.
329.602: .8.
330.098: .8.
330.306: .8.
330.804: .8.
331.008: .8.
331.233: .8.
331.731: .8.
331.952: .8.
332.431: .8.
332.656: .8.
333.152: .8.
333.391: .8.
333.874: .8.
334.095: .8.
334.327: .8.
334.814: .8.
335.038: .8.
335.518: .8.
335.758: .8.
336.238: .8.
336.462: .8.
336.942: .8.
337.166: .8.
337.389: .8.
337.853: .8.
338.077: .8.
338.575: .8.
338.797: .8.
339.278: .8.
339.503: .8.
339.980: .8.
340.204: .8.
340.428: .8.
340.908: .8.
341.118: .8.
341.612: .8.
341.838: .8.
342.333: .8.
342.556: .8.
343.054: .8.
343.277: .8.
343.500: .8.
343.979: .8.
344.206: .8.
344.682: .8.
344.906: .8.
345.387: .8.
345.609: .8.
346.108: .8.
346.347: .8.
346.552: .8.
347.065: .8.
347.289: .8.
347.768: .8.
347.995: .8.
348.504: .8.
348.712: .8.
349.207: .8.
349.415: .8.
349.640: .8.
350.119: .8.
350.343: .8.
350.840: .8.
351.064: .8.
351.542: .8.
351.782: .8.
352.262: .8.
352.501: .8.
352.710: .8.
353.192: .8.
353.416: .8.
353.912: .8.
354.133: .8.
354.615: .8.
354.838: .8.
355.332: .8.
355.558: .8.
355.780: .8.
356.247: .8.
356.467: .8.
356.947: .8.
357.190: .8.
357.667: .8.
357.891: .8.
358.370: .8.
358.595: .8.
358.805: .8.
359.298: .8.
359.523: .8.
360.002: .8.
360.212: .8.
360.692: .8.
360.932: .8.
361.429: .8.
361.649: .8.
361.876: .8.
362.352: .8.
362.592: .8.
363.072: .8.
363.296: .8.
363.792: .8.
364.016: .8.
364.495: .8.
364.720: .8.
364.927: .8.
365.424: .8.
365.648: .8.
366.127: .8.
366.350: .8.
366.847: .8.
367.070: .8.
367.551: .8.
367.774: .8.
367.998: .8.
368.478: .8.
368.702: .8.
369.197: .8.
369.423: .8.
369.920: .8.
370.141: .8.
370.621: .8.
370.848: .8.
371.072: .8.
371.550: .8.
371.773: .8.
372.252: .8.
372.479: .8.
372.971: .8.
373.199: .8.
373.676: .8.
373.902: .8.
374.126: .8.
374.588: .8.
374.826: .8.
375.309: .8.
375.530: .8.
376.013: .8.
376.233: .8.
376.252: result: 3E
376.253: result: CB
376.268: result: F3
376.746: .8.
376.748: result: E6
376.749: result: B0
376.762: result: B5
376.764: result: 80
376.765: result: 57
376.985: .8.
376.986: result: D7
377.001: result: DB
377.002: result: C6
377.482: .8.
377.483: result: 6B
377.483: result: 31
377.483: end
377.500: start
377.722: .5.
377.913: .5.
378.408: .5.
378.633: .5.
379.113: .5.
379.323: .5.
379.801: .5.
380.043: .5.
380.519: .6.
380.760: .8.
380.968: .8.
381.465: .8.
381.690: .8.
382.167: .8.
382.393: .8.
382.873: .8.
383.094: .8.
383.574: .8.
383.799: .8.
384.025: .8.
384.502: .8.
384.727: .8.
385.206: .8.
385.432: .8.
385.927: .8.
386.152: .8.
386.629: .8.
386.853: .8.
387.077: .8.
387.540: .8.
387.764: .8.
388.260: .8.
388.484: .8.
388.982: .8.
389.206: .8.
389.684: .8.
389.927: .8.
390.131: .8.
390.627: .8.
390.851: .8.
391.349: .8.
391.573: .8.
392.054: .8.
392.273: .8.
392.769: .8.
392.978: .8.
393.204: .8.
393.683: .8.
393.905: .8.
394.386: .8.
394.610: .8.
395.107: .8.
395.328: .8.
395.808: .8.
396.032: .8.
396.240: .8.
396.723: .8.
396.943: .8.
397.426: .8.
397.647: .8.
398.126: .8.
398.350: .8.
398.561: .8.
399.040: .8.
399.278: .8.
399.758: .8.
399.982: .8.
400.478: .8.
400.702: .8.
401.184: .8.
401.407: .8.
401.613: .8.
402.109: .8.
402.316: .8.
402.797: .8.
403.038: .8.
403.534: .8.
403.758: .8.
404.239: .8.
404.460: .8.
404.685: .8.
405.148: .8.
405.371: .8.
405.867: .8.
406.091: .8.
406.570: .8.
406.795: .8.
407.277: .8.
407.501: .8.
407.725: .8.
408.218: .8.
408.428: .8.
408.925: .8.
409.149: .8.
409.641: .8.
409.865: .8.
410.361: .8.
410.572: .8.
410.793: .8.
411.288: .8.
411.515: .8.
411.993: .8.
412.217: .8.
412.699: .8.
412.921: .8.
413.415: .8.
413.640: .8.
413.864: .8.
414.328: .8.
414.551: .8.
415.049: .8.
415.273: .8.
415.751: .8.
415.975: .8.
416.455: .8.
416.679: .8.
416.903: .8.
417.367: .8.
417.590: .8.
418.069: .8.
418.311: .8.
418.806: .8.
419.031: .8.
419.526: .8.
419.748: .8.
419.959: .8.
420.452: .8.
420.660: .8.
421.172: .8.
421.380: .8.
421.859: .8.
422.099: .8.
422.580: .8.
422.822: .8.
423.027: .8.
423.510: .8.
423.730: .8.
424.212: .8.
424.434: .8.
424.934: .8.
425.173: .8.
425.650: .8.
425.858: .8.
426.082: .8.
426.562: .8.
426.785: .8.
427.281: .8.
427.504: .8.
428.004: .8.
428.227: .8.
428.720: .8.
428.947: .8.
429.152: .8.
429.648: .8.
429.874: .8.
430.367: .8.
430.592: .8.
431.072: .8.
431.298: .8.
431.794: .8.
432.015: .8.
432.239: .8.
432.687: .8.
432.911: .8.
433.406: .8.
433.634: .8.
434.126: .8.
434.349: .8.
434.830: .8.
435.054: .8.
435.245: .8.
435.741: .8.
435.967: .8.
436.445: .8.
436.669: .8.
437.148: .8.
437.371: .8.
437.868: .8.
438.094: .8.
438.318: .8.
438.796: .8.
439.022: .8.
439.517: .8.
439.723: .8.
440.220: .8.
440.442: .8.
440.906: .8.
441.149: .8.
441.356: .8.
441.850: .8.
442.073: .8.
442.553: .8.
442.778: .8.
443.273: .8.
443.482: .8.
443.978: .8.
444.201: .8.
444.428: .8.
444.889: .8.
445.130: .8.
445.608: .8.
445.848: .8.
446.345: .8.
446.568: .8.
447.047: .8.
447.289: .8.
447.494: .8.
447.961: .8.
448.185: .8.
448.663: .8.
448.886: .8.
449.398: .8.
449.625: .8.
450.104: .8.
450.329: .8.
450.551: .8.
451.029: .8.
451.253: .8.
451.736: .8.
451.960: .8.
452.453: .8.
452.677: .8.
453.156: .8.
453.398: .8.
453.608: .8.
454.069: .8.
454.294: .8.
454.772: .8.
454.999: .8.
455.475: .8.
455.699: .8.
456.179: .8.
456.388: .8.
456.614: .8.
457.108: .8.
457.332: .8.
457.826: .8.
458.049: .8.
458.529: .8.
458.739: .8.
458.961: .8.
459.441: .8.
459.651: .8.
460.146: .8.
460.368: .8.
460.864: .8.
461.103: .8.
461.585: .8.
461.807: .8.
462.303: .8.
462.527: .8.
462.735: .8.
463.233: .8.
463.456: .8.
463.934: .8.
464.161: .8.
464.656: .8.
464.878: .8.
465.373: .8.
465.599: .8.
465.825: .8.
466.301: .8.
466.527: .8.
467.037: .8.
467.260: .8.
467.805: .8.
468.028: .8.
468.525: .8.
468.765: .8.
469.246: .8.
469.452: .8.
469.692: .8.
470.172: .8.
470.397: .8.
470.875: .8.
471.099: .8.
471.594: .8.
471.818: .8.
472.315: .8.
472.538: .8.
472.747: .8.
473.245: .8.
473.453: .8.
473.945: .8.
474.169: .8.
474.649: .8.
474.857: .8.

475.352: .8.

475.576: .8.
475.803: .8.
476.283: .8.
476.522: .8.
477.017: .8.
477.243: .8.
477.723: .8.
477.944: .8.
478.439: .8.
478.663: .8.
478.855: .8.
479.350: .8.
479.574: .8.
480.071: .8.
480.295: .8.
480.774: .8.
480.998: .8.
481.493: .8.
481.718: .8.
482.215: .8.
482.437: .8.
482.661: .8.
483.141: .8.
483.367: .8.
483.847: .8.
484.087: .8.
484.580: .8.
484.805: .8.
485.287: .8.
485.523: .8.
485.733: .8.
486.229: .8.
486.454: .8.
486.932: .8.
487.158: .8.
487.667: .8.
487.890: .8.
488.370: .8.
488.596: .8.
489.092: .8.
489.314: .8.
489.538: .8.
490.018: .8.
490.241: .8.
490.737: .8.
490.963: .8.
491.459: .8.
491.681: .8.
492.163: .8.
492.400: .8.
492.595: .8.
493.091: .8.
493.311: .8.
493.791: .8.
494.017: .8.
494.497: .8.
494.735: .8.
495.231: .8.
495.455: .8.
495.679: .8.
496.158: .8.
496.382: .8.
496.862: .8.
497.089: .8.
497.582: .8.
497.806: .8.
498.286: .8.
498.509: .8.
498.717: .8.
499.230: .8.
499.453: .8.
499.935: .8.
500.157: .8.
500.653: .8.
500.878: .8.
501.356: .8.
501.582: .8.
501.804: .8.
502.283: .8.
502.507: .8.
503.005: .8.
503.227: .8.
503.724: .8.
503.947: .8.
504.443: .8.
504.667: .8.
505.149: .8.
505.369: .8.
505.594: .8.
506.074: .8.
506.313: .8.
506.809: .8.
507.033: .8.
507.528: .8.
507.754: .8.
508.249: .8.
508.473: .8.
508.696: .8.
509.146: .8.
509.385: .8.
509.864: .8.
510.106: .8.
510.583: .8.
510.811: .8.
511.306: .8.
511.529: .8.
511.737: .8.
512.231: .8.
512.457: .8.
512.936: .8.
513.159: .8.
513.653: .8.
513.877: .8.
514.373: .8.
514.598: .8.
515.093: .8.
515.317: .8.
515.540: .8.
516.020: .8.
516.247: .8.
516.744: .8.
516.964: .8.
517.427: .8.
517.667: .8.
518.165: .8.
518.389: .8.
518.611: .8.
519.075: .8.
519.314: .8.
519.796: .8.
520.018: .8.
520.509: .8.
520.723: .8.
521.222: .8.
521.426: .8.
521.650: .8.
522.149: .8.
522.371: .8.
522.865: .8.
523.090: .8.
523.587: .8.
523.812: .8.
524.305: .8.
524.531: .8.
524.754: .8.
525.232: .8.
525.460: .8.
525.969: .8.
526.192: .8.
526.687: .8.
526.912: .8.
527.392: .8.
527.616: .8.
528.111: .8.
528.327: .8.
528.558: .8.
529.041: .8.
529.262: .8.
529.744: .8.
529.965: .8.
530.445: .8.
530.671: .8.
531.149: .8.
531.375: .8.
531.582: .8.
532.063: .8.
532.268: .8.
532.751: .8.
532.988: .8.
533.484: .8.
533.710: .8.
533.918: .8.
534.399: .8.
534.621: .8.
535.100: .8.
535.326: .8.
535.805: .8.
536.027: .8.
536.507: .8.
536.733: .8.
536.938: .8.
537.418: .8.
537.642: .8.
538.121: .8.
538.347: .8.
538.842: .8.
539.069: .8.
539.564: .8.
539.771: .8.
539.993: .8.
540.472: .8.
540.698: .8.
541.176: .8.
541.400: .8.
541.914: .8.
542.136: .8.
542.616: .8.
542.840: .8.
543.050: .8.
543.543: .8.
543.767: .8.
544.264: .8.
544.491: .8.
544.984: .8.
545.224: .8.
545.702: .8.
545.945: .8.
546.166: .8.
546.630: .8.
546.869: .8.
547.351: .8.
547.573: .8.
548.069: .8.
548.293: .8.
548.773: .8.
548.997: .8.
549.492: .8.
549.701: .8.
549.908: .8.
550.404: .8.
550.630: .8.
551.107: .8.
551.331: .8.
551.811: .8.
552.051: .8.
552.546: .8.
552.757: .8.
552.978: .8.
553.476: .8.
553.699: .8.
554.177: .8.
554.401: .8.
554.897: .8.
555.121: .8.
555.601: .8.
555.843: .8.
556.049: .8.
556.547: .8.
556.772: .8.
557.264: .8.
557.503: .8.
557.984: .8.
558.208: .8.
558.208: result: 3E
558.226: result: CB
558.227: result: F3
558.704: .10.
558.704: result: F3
558.705: result: E6
558.719: result: B0
558.720: result: B5
558.720: result: 80
558.738: result: 57
558.960: .8.
558.961: result: D7
558.979: result: DB
558.980: result: C6
559.456: .8.
559.457: result: 6B
559.472: result: 31
559.473: end
559.474: start
559.680: .5.
560.177: .5.
560.382: .5.
560.626: .5.
561.103: .5.
561.326: .5.
561.823: .5.
562.046: .5.
562.544: .6.
562.768: .8.
563.261: .8.
563.484: .8.
563.709: .8.
564.189: .8.
564.412: .8.
564.893: .8.
565.132: .8.
565.613: .8.
565.836: .8.
566.331: .8.
566.555: .8.
567.054: .8.
567.275: .8.
567.502: .8.
567.995: .8.
568.207: .8.
568.698: .8.
568.923: .8.
569.421: .8.
569.645: .8.
570.122: .8.
570.348: .8.
570.569: .8.
571.049: .8.
571.289: .8.
571.770: .8.
572.009: .8.
572.504: .8.
572.731: .8.
573.225: .8.
573.448: .8.
573.943: .8.
574.183: .8.
574.375: .8.
574.873: .8.
575.097: .8.
575.593: .8.
575.814: .8.
576.310: .8.
576.534: .8.
577.031: .8.
577.254: .8.
577.749: .8.
577.974: .8.
578.197: .8.
578.664: .8.
578.903: .8.
579.384: .8.
579.623: .8.
580.117: .8.
580.343: .8.
580.824: .8.
581.063: .8.
581.556: .8.
581.784: .8.
581.991: .8.
582.484: .8.
582.708: .8.
583.219: .8.
583.443: .8.
583.923: .8.
584.150: .8.
584.661: .8.
584.882: .8.
585.106: .8.
585.573: .8.
585.793: .8.
586.290: .8.
586.516: .8.
587.011: .8.
587.235: .8.
587.713: .8.
587.937: .8.
588.147: .8.
588.689: .8.
588.897: .8.
589.394: .8.
589.600: .8.
590.096: .8.
590.322: .8.
590.816: .8.
591.041: .8.
591.550: .8.
591.759: .8.
591.983: .8.
592.462: .8.
592.687: .8.
593.182: .8.
593.406: .8.
593.887: .8.
594.110: .8.
594.606: .8.
594.846: .8.
595.341: .8.
595.549: .8.
595.789: .8.
596.269: .8.
596.509: .8.
597.005: .8.
597.229: .8.
597.709: .8.
597.932: .8.
598.430: .8.
598.653: .8.
599.163: .8.
599.390: .8.
599.596: .8.
600.092: .8.
